ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
1,"simple, downloadable, virtual",,BeRocketSelectorsTest10,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
2,"simple, downloadable",,BeRocketSelectorsTest11,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
3,"simple",,BeRocketSelectorsTest12,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
4,"simple, downloadable, virtual",,BeRocketSelectorsTest13,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
5,"simple, downloadable",,BeRocketSelectorsTest14,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
6,"simple",,BeRocketSelectorsTest15,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
7,"simple, downloadable, virtual",,BeRocketSelectorsTest16,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
8,"simple, downloadable",,BeRocketSelectorsTest17,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
9,"simple",,BeRocketSelectorsTest18,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
10,"simple, downloadable, virtual",,BeRocketSelectorsTest19,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
11,"simple, downloadable",,BeRocketSelectorsTest20,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
12,"simple",,BeRocketSelectorsTest21,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
13,"simple, downloadable, virtual",,BeRocketSelectorsTest22,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
14,"simple, downloadable",,BeRocketSelectorsTest23,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
15,"simple",,BeRocketSelectorsTest24,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
16,"simple, downloadable, virtual",,BeRocketSelectorsTest25,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
17,"simple, downloadable",,BeRocketSelectorsTest26,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
18,"simple",,BeRocketSelectorsTest27,1,0,visible,,,,,taxable,,1,,0,0,,,,,1,,,1,BeRocketSelectors,,,,'-1,'-1,,,,,,,0
